product_id,product_name,original_price,category_id,stock,slug,vendor_id,ratings,date_add,brand,product_description
181353,Hàng Rào Sân Vườn Nhân Tạo Hàng Rào Riêng Tư Nhà Gỗ Lắp Đặt Đơn Giản Cho Ban Công Sân Cửa Sổ Cửa Hàng Trang Trí Học Tập,803000.0,249,499,hang-rao-san-vuon-nhan-tao-hang-rao-rieng-tu-nha-go-lap-dat-don-gian-cho-ban-cong-san-cua-so-cua-hang-trang-tri-hoc-tap-182128,2,3.5,2024-03-11,No brand,
277326,Hình Chú Chó Dễ Thương Giả Kính Màu Móc Treo Cửa Cửa Sổ Treo Mặt Dây Chuyền Suncatcher Cho Trang Trí Nhà Vườn Phòng Khách Văn Phòng Đồ Trang Trí,526000.0,249,987,hinh-chu-cho-de-thuong-gia-kinh-mau-moc-treo-cua-cua-so-treo-mat-day-chuyen-suncatcher-cho-trang-tri-nha-vuon-phong-khach-van-phong-do-trang-tri-278445,1,4.0,2024-08-27,No brand,
193266,Moden Chống Nước Ngoài Trời Đèn Tường PIR Cảm Biến Chuyển Động Đèn Sân Vườn Hiên Nhà Cửa Trước Nhôm Đen Thân Đèn Trong Nhà Walllight,11015000.0,249,200,moden-chong-nuoc-ngoai-troi-den-tuong-pir-cam-bien-chuyen-dong-den-san-vuon-hien-nha-cua-truoc-nhom-den-than-den-trong-nha-walllight-194065,1,4.14,2024-03-25,Noenname_null,
174133,6 Chiếc Bền Vườn Gnome Cửa Gỗ Thân Thiện Với Môi Trường Cổ Tích Nhiều Màu Sắc Trang Trí Nhà Búp Bê Câu Chuyện Cổ Tích Cửa Thủ Công Phụ Kiện,705000.0,249,1,6-chiec-ben-vuon-gnome-cua-go-than-thien-voi-moi-truong-co-tich-nhieu-mau-sac-trang-tri-nha-bup-be-cau-chuyen-co-tich-cua-thu-cong-phu-kien-174890,1,1.0,2024-06-20,No brand,
243083,Tưới Vườn Lọc 1/2 ''Nhà Bếp Nước Lọc Rửa Xe Thủy Lợi Prefilter Bể Cá Nước Bơm Lọc Nước Cửa Hút Gió,1474000.0,249,9990,tuoi-vuon-loc-1-2-nha-bep-nuoc-loc-rua-xe-thuy-loi-prefilter-be-ca-nuoc-bom-loc-nuoc-cua-hut-gio-244023,2,5.0,2024-03-02,Sgoohan,
213842,Cửa Sổ Chim Hoang Dã Ăn Nhà Nhựa Trong Suốt Cho Chim Ăn Treo Đậu Phộng Hạt Ăn Trạm Vườn Đựng Hạt Giống,1607000.0,249,128,cua-so-chim-hoang-da-an-nha-nhua-trong-suot-cho-chim-an-treo-dau-phong-hat-an-tram-vuon-dung-hat-giong-214693,2,4.5,2024-06-14,No brand,
222353,Bình tưới cây Vintage Bình Nóng Vàng Vườn Kim Loại Sắt Nước Xô Để Tưới Cây Hoa Trang Trí Nhà Cửa Dropshipping,595000.0,249,875,binh-tuoi-cay-vintage-binh-nong-vang-vuon-kim-loai-sat-nuoc-xo-de-tuoi-cay-hoa-trang-tri-nha-cua-dropshipping-223229,1,4.22,2024-03-08,No brand,
224499,1/4 Kim Loại Chim Treo Tường Nghệ Thuật Điêu Khắc Treo Ngoài Trời Trang Trí Cho Sân Vườn/Trang Trí Nhà Cửa,654000.0,249,34,1-4-kim-loai-chim-treo-tuong-nghe-thuat-dieu-khac-treo-ngoai-troi-trang-tri-cho-san-vuon-trang-tri-nha-cua-225383,2,3.62,2024-09-09,No brand,
381686,Lớn Laden Tủ Hồ Sơ Vanity Gỗ Vườn Ngoài Trời Màn Hình Sân Kính Bên Tủ Cửa Nhà Bếp Armarios Nội Thất Gia Đình,52444000.0,249,70,lon-laden-tu-ho-so-vanity-go-vuon-ngoai-troi-man-hinh-san-kinh-ben-tu-cua-nha-bep-armarios-noi-that-gia-dinh-1566251,2,4.11,2024-04-17,Oein,
139220,Trang Trí Bể Cá Phụ Kiện Hình Thú Dễ Thương Kệ Sách Decort Tập Thể Trang Trí Nhà Cửa Sân Vườn Nhựa Thủ Công Thu Nhỏ,526000.0,249,17,trang-tri-be-ca-phu-kien-hinh-thu-de-thuong-ke-sach-decort-tap-the-trang-tri-nha-cua-san-vuon-nhua-thu-cong-thu-nho-139941,1,4.25,2024-07-23,Whphous,
221117,12/24 Nhân Tạo Giả Động Vật Mini Ếch Đồ Trang Trí Sân Vườn Sống Động Như Thật Giả Ếch Cây Cảnh Trang Trí Nhà Cửa,668000.0,249,0,12-24-nhan-tao-gia-dong-vat-mini-ech-do-trang-tri-san-vuon-song-dong-nhu-that-gia-ech-cay-canh-trang-tri-nha-cua-221993,1,4.67,2024-04-21,No brand,
212056,Cửa Sổ Chim Hoang Dã Ăn Nhà Trong Suốt Hoang Dã Bàn Có Thể Tháo Rời Hút Trượt Khay Đựng Thức Ăn Cho Sân Vườn Sân Sân,1122000.0,249,188,cua-so-chim-hoang-da-an-nha-trong-suot-hoang-da-ban-co-the-thao-roi-hut-truot-khay-dung-thuc-an-cho-san-vuon-san-san-212056,2,4.58,2024-01-18,No brand,
227987,10 Cái/bộ Dạ Quang Mini Động Vật Cây Micro Phong Cảnh Vật Trang Trí Ngoài Trời Phát Sáng Thu Nhỏ Tượng Chậu Vườn Trang Trí Nhà Cửa,526000.0,249,6,10-cai-bo-da-quang-mini-dong-vat-cay-micro-phong-canh-vat-trang-tri-ngoai-troi-phat-sang-thu-nho-tuong-chau-vuon-trang-tri-nha-cua-228899,2,5.0,2024-07-11,No brand,
224305,Mini Cặp Đôi Nhân Vật Bà Ông Nội Sweety Người Yêu Cũ Vật Trang Trí Cho Vườn Cổ Tích Các Bức Tượng Nhỏ Thu Nhỏ Trang Trí Nhà Cửa,638000.0,249,497,mini-cap-doi-nhan-vat-ba-ong-noi-sweety-nguoi-yeu-cu-vat-trang-tri-cho-vuon-co-tich-cac-buc-tuong-nho-thu-nho-trang-tri-nha-cua-225189,1,5.0,2024-04-05,No brand,
224537,Sắt Nghệ Thuật Kim Loại Kiến Trang Trí Treo Tường Trang Trí Nhà Cửa Hàng Thủ Công Ngoài Trời Sân Vườn Đồ Trang Trí Trang Trí Phòng Khách,712000.0,249,30,sat-nghe-thuat-kim-loai-kien-trang-tri-treo-tuong-trang-tri-nha-cua-hang-thu-cong-ngoai-troi-san-vuon-do-trang-tri-trang-tri-phong-khach-225421,2,5.0,2024-08-30,No brand,
224063,10 Cái/bộ Dạ Quang Mini Động Vật Cây Micro Phong Cảnh Vật Trang Trí Ngoài Trời Phát Sáng Thu Nhỏ Tượng Chậu Vườn Trang Trí Nhà Cửa,689000.0,249,8,10-cai-bo-da-quang-mini-dong-vat-cay-micro-phong-canh-vat-trang-tri-ngoai-troi-phat-sang-thu-nho-tuong-chau-vuon-trang-tri-nha-cua-224943,1,4.5,2024-01-22,No brand,
209460,Ngôi Nhà Cửa Sổ Trong Suốt Chim Hoang Dã Ăn Ngoài Trời Có Thể Tháo Rời Hút Trượt Tự Động Chim Khay Đựng Thức Ăn Cho Sân Vườn Sân Sân,1072000.0,249,135,ngoi-nha-cua-so-trong-suot-chim-hoang-da-an-ngoai-troi-co-the-thao-roi-hut-truot-tu-dong-chim-khay-dung-thuc-an-cho-san-vuon-san-san-210286,2,4.8,2024-07-16,No brand,
222792,Bình Tưới Nước Nóng Cho Cây Trong Nhà Bình Tưới Hoa Ngoài Trời Cho Cây Trong Nhà Vườn Hoa Vòi Dài Trong Nhà Dụng Cụ Làm Vườn,526000.0,249,227,binh-tuoi-nuoc-nong-cho-cay-trong-nha-binh-tuoi-hoa-ngoai-troi-cho-cay-trong-nha-vuon-hoa-voi-dai-trong-nha-dung-cu-lam-vuon-223668,1,5.0,2024-03-10,No brand,
218776,6 Máy Tính Ếch Dễ Thương Động Vật Thu Nhỏ Vườn Cổ Tích Vật Trang Trí DIY Kính Trang Trí Vật Nhỏ Hình Tượng Mẫu Thủ Công Trang Trí Nhà Cửa,617000.0,249,23,6-may-tinh-ech-de-thuong-dong-vat-thu-nho-vuon-co-tich-vat-trang-tri-diy-kinh-trang-tri-vat-nho-hinh-tuong-mau-thu-cong-trang-tri-nha-cua-219646,2,4.22,2024-06-02,No brand,
175361,Vườn thắp sáng điêu khắc Trong nhà ngoài trời Thác nước Sân nhà Sân vườn Trang trí Tượng nhỏ Đài phun nước trang trí,2169000.0,249,2,vuon-thap-sang-dieu-khac-trong-nha-ngoai-troi-thac-nuoc-san-nha-san-vuon-trang-tri-tuong-nho-dai-phun-nuoc-trang-tri-176118,2,2.0,2024-07-23,Apwikoger,
224730,Mini Cặp Đôi Nhân Vật Bà Ông Nội Sweety Người Yêu Cặp Vợ Chồng Già Vật Trang Trí Cho Vườn Cổ Tích Các Bức Tượng Nhỏ Thu Nhỏ Trang Trí Nhà Cửa,812000.0,249,6,mini-cap-doi-nhan-vat-ba-ong-noi-sweety-nguoi-yeu-cap-vo-chong-gia-vat-trang-tri-cho-vuon-co-tich-cac-buc-tuong-nho-thu-nho-trang-tri-nha-cua-225614,2,4.71,2024-06-09,No brand,
160125,Năng Lượng Mặt Trời Chim Tắm Máy Bơm Đài Phun Nước Bể Bơi Chạy Bằng Năng Lượng Mặt Trời Đầy Màu Sắc Đài Phun Nước Nổi Trang Trí Nhà Cửa Cho Sân Vườn,1827000.0,249,880,nang-luong-mat-troi-chim-tam-may-bom-dai-phun-nuoc-be-boi-chay-bang-nang-luong-mat-troi-day-mau-sac-dai-phun-nuoc-noi-trang-tri-nha-cua-cho-san-vuon-160869,2,4.01,2024-01-19,Letiittgoo,
221228,Bình Tưới Cây Vòi Dài Vật Có Tưới Chai Khu Vườn Nhà Hoa Dụng Cụ Chậu Làm Vườn Nước Nồi Kim Loại Trong Nhà Bình Tưới Cây,2245000.0,249,987,binh-tuoi-cay-voi-dai-vat-co-tuoi-chai-khu-vuon-nha-hoa-dung-cu-chau-lam-vuon-nuoc-noi-kim-loai-trong-nha-binh-tuoi-cay-222104,1,4.0,2024-01-09,No brand,
222245,1/2/3 Nhựa Lớn Sân Vườn Dài Vòi Phun Có Thể Tưới Cây Trong Nhà Ngoài Trời Làm Vườn Nhà Thực Vật Cây Cảnh Tưới Cây nồi,1911000.0,249,945,1-2-3-nhua-lon-san-vuon-dai-voi-phun-co-the-tuoi-cay-trong-nha-ngoai-troi-lam-vuon-nha-thuc-vat-cay-canh-tuoi-cay-noi-223121,1,4.33,2024-09-21,Liplasting,
220056,Nhựa Lớn Sân Vườn Đầu Phun Dài Bình Tưới Cây Tưới Cây Trong Nhà Ngoài Trời Làm Vườn Nhà Thực Vật Cây Cảnh Tưới Nồi Ấm Siêu Tốc Bình,1630000.0,249,1000,nhua-lon-san-vuon-dau-phun-dai-binh-tuoi-cay-tuoi-cay-trong-nha-ngoai-troi-lam-vuon-nha-thuc-vat-cay-canh-tuoi-noi-am-sieu-toc-binh-220931,2,3.0,2024-02-03,Liplasting,
222603,Nhựa Tưới Cây Có Thể Nồi Vật Dụng Làm Vườn Thực Vật Trong Vườn Có Thể Điều Chỉnh Áp Lực Xịt Nước Ấm Siêu Tốc Trong Nhà 1L Máy Phun Hoa Nhà,526000.0,249,15,nhua-tuoi-cay-co-the-noi-vat-dung-lam-vuon-thuc-vat-trong-vuon-co-the-dieu-chinh-ap-luc-xit-nuoc-am-sieu-toc-trong-nha-1l-may-phun-hoa-nha-223480,1,0.0,2024-02-02,No brand,
181384,Mở rộng bảng điều khiển hàng rào tường vườn bằng gỗ Cây leo vách ngăn Trellis Trang trí hàng rào sân vườn cho sân nhà Trang trí sân vườn,3365000.0,249,50,mo-rong-bang-dieu-khien-hang-rao-tuong-vuon-bang-go-cay-leo-vach-ngan-trellis-trang-tri-hang-rao-san-vuon-cho-san-nha-trang-tri-san-vuon-182159,1,4.25,2024-01-30,No brand,
224244,Hình Con Voi Bình Tưới Cây Nồi Khu Vườn Nhà Hoa Cây Dụng Cụ Hút Mật Trong Chậu Làm Vườn Nước,800000.0,249,500,hinh-con-voi-binh-tuoi-cay-noi-khu-vuon-nha-hoa-cay-dung-cu-hut-mat-trong-chau-lam-vuon-nuoc-225125,2,4.29,2024-01-13,No brand,
221136,Thu Nhỏ Vườn Cổ Tích Phụ Kiện Dễ Thương Kawaii Người Yêu Vật Trang Trí Tượng Các Bức Tượng Nhỏ Nhà Phong Cảnh Sân Vườn Nhà Búp Bê Terrarium Trang Trí,735000.0,249,9990,thu-nho-vuon-co-tich-phu-kien-de-thuong-kawaii-nguoi-yeu-vat-trang-tri-tuong-cac-buc-tuong-nho-nha-phong-canh-san-vuon-nha-bup-be-terrarium-trang-tri-222012,2,4.67,2024-07-23,No brand,
224860,Bình tưới nước Bình tưới cây bằng đồng cổ điển để tưới cây Nắp cho lon Phun nước Làm vườn Xịt nhà và vườn,1357000.0,249,299,binh-tuoi-nuoc-binh-tuoi-cay-bang-dong-co-dien-de-tuoi-cay-nap-cho-lon-phun-nuoc-lam-vuon-xit-nha-va-vuon-225744,2,4.07,2024-01-21,No brand,
673370,"Tủ buffet 3 cửa, Tủ đựng đồ nhà bếp có cửa gương acrylic, Gỗ sồi xám bụi",12085000.0,249,29,tu-buffet-3-cua-tu-dung-do-nha-bep-co-cua-guong-acrylic-go-soi-xam-bui-1870280,2,0.0,2024-02-29,Tulx,
100162,"Màn Tắm Vải Chống Thấm Nước Glawry Boho 72 ""X 72"" Tắm Rèm Cửa Nhà Tắm Rèm Cửa Nấm Mốc Nhà Cao Cấp Có Móc Treo phụ Kiện",973000.0,249,102,man-tam-vai-chong-tham-nuoc-glawry-boho-72-x-72-tam-rem-cua-nha-tam-rem-cua-nam-moc-nha-cao-cap-co-moc-treo-phu-kien-100162,2,0.0,2024-09-23,No brand,
241488,5 Chiếc Lon Làm Vườn Sắt Tưới Cây Chậu Trẻ Em Tưới Ấm Siêu Tốc Cho Nhà Kính Nhà,1457000.0,249,7,5-chiec-lon-lam-vuon-sat-tuoi-cay-chau-tre-em-tuoi-am-sieu-toc-cho-nha-kinh-nha-242427,2,4.27,2024-01-29,No brand,
271958,Hẹn Giờ Tưới Vườn Van Bi/Van Điện Từ Bộ Điều Khiển Tưới Vườn Nhà Tưới Cây Tự Động Van Điện Tử,1457000.0,249,67,hen-gio-tuoi-vuon-van-bi-van-dien-tu-bo-dieu-khien-tuoi-vuon-nha-tuoi-cay-tu-dong-van-dien-tu-272947,2,3.94,2024-06-06,Aqualin,
